index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1316653677.409545-2837431392.pgm,r-1316653677.431323-2838369375.ppm,1316653677.409544945,1316653677.431323051,rgb\1.png,rgb_undistorted\1.png,gt_depth\1_depth.png,307200
2,d-1316653678.417701-2897496042.pgm,r-1316653678.426867-2898378000.ppm,1316653678.417701006,1316653678.426867008,rgb\2.png,rgb_undistorted\2.png,gt_depth\2_depth.png,307200
3,d-1316653679.409019-2957560692.pgm,r-1316653679.397205-2956386338.ppm,1316653679.409018993,1316653679.397205114,rgb\3.png,rgb_undistorted\3.png,gt_depth\3_depth.png,307200
4,d-1316653680.417464-3017625342.pgm,r-1316653680.427394-3018395250.ppm,1316653680.417464018,1316653680.427393913,rgb\4.png,rgb_undistorted\4.png,gt_depth\4_depth.png,307200
5,d-1316653681.409124-3077689992.pgm,r-1316653681.397128-3076403588.ppm,1316653681.409123898,1316653681.397128105,rgb\5.png,rgb_undistorted\5.png,gt_depth\5_depth.png,307200
6,d-1316653682.416728-3137754642.pgm,r-1316653682.425099-3138412500.ppm,1316653682.416728020,1316653682.425098896,rgb\6.png,rgb_undistorted\6.png,gt_depth\6_depth.png,307200
7,d-1316653683.424444-3197819292.pgm,r-1316653683.434412-3198421125.ppm,1316653683.424443960,1316653683.434412003,rgb\7.png,rgb_undistorted\7.png,gt_depth\7_depth.png,307200
8,d-1316653684.417020-3257883942.pgm,r-1316653684.428161-3258429750.ppm,1316653684.417020082,1316653684.428160906,rgb\8.png,rgb_undistorted\8.png,gt_depth\8_depth.png,307200
9,d-1316653685.424951-3317948592.pgm,r-1316653685.434997-3318438375.ppm,1316653685.424951077,1316653685.434997082,rgb\9.png,rgb_undistorted\9.png,gt_depth\9_depth.png,307200
10,d-1316653686.417146-3378013242.pgm,r-1316653686.426178-3378447000.ppm,1316653686.417145967,1316653686.426177979,rgb\10.png,rgb_undistorted\10.png,gt_depth\10_depth.png,307200
