Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.4659,1.2914,0.0,0.9987,1.1101
11,0.4942,1.3727,0.0,0.9955,1.0868
12,0.5909,1.6376,0.0,0.0781,1.1976
13,0.3943,1.083,0.0,1.0,1.2804
14,0.4492,1.2334,0.0,1.0,1.1049
15,0.5389,1.4817,0.0,0.8528,1.1932
16,0.4984,1.3735,0.0,0.9843,1.1202
17,0.5166,1.4236,0.0,0.9707,1.1158
18,0.435,1.1984,0.0,1.0,1.1175
19,0.441,1.2156,0.0,1.0,1.1358
1,0.4714,1.3018,0.0,0.998,1.1735
20,0.4728,1.3004,0.0,0.9977,1.1655
21,0.4611,1.2683,0.0,0.9982,1.2487
22,0.4763,1.3112,0.0,0.997,1.354
23,0.4586,1.2653,0.0,0.9966,1.3812
24,0.5153,1.4223,0.0,0.9918,1.2308
25,0.521,1.4533,0.0,0.998,1.2218
26,0.4962,1.3837,0.0,0.9993,1.2822
27,0.4678,1.2997,0.0,1.0,1.2566
28,0.4731,1.31,0.0,0.997,1.3529
29,0.4936,1.3629,0.0,0.9952,1.2352
2,0.4473,1.2346,0.0,0.9998,1.1986
30,0.4723,1.3028,0.0,0.9966,1.2467
31,0.5056,1.3773,0.0,0.9891,1.2077
32,0.4677,1.2743,0.0,0.9998,1.2219
33,0.554,1.5097,0.0,0.7884,1.2391
34,0.522,1.4273,0.0,0.9621,1.1989
35,0.5441,1.4903,0.0,0.8071,1.3491
36,0.4816,1.3203,0.0,0.9984,1.2593
37,0.5024,1.3785,0.0,0.9898,1.3046
38,0.5616,1.5462,0.0,0.6189,1.2767
39,0.5395,1.485,0.0,0.9244,1.2656
3,0.49,1.3527,0.0,0.9891,1.367
4,0.4488,1.2405,0.0,0.9993,1.2755
5,0.4437,1.2277,0.0,0.9993,1.2537
6,0.4891,1.354,0.0,0.9886,1.915
7,0.4212,1.175,0.0,1.0,1.6022
8,0.4346,1.2131,0.0,1.0,1.3015
9,0.5144,1.4329,0.0,0.9809,1.3317
