image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T11:57:04.192848,2026-02-03T11:57:04.538221,0.345373
2,2026-02-03T11:57:11.880187,2026-02-03T11:57:12.275225,0.395038
3,2026-02-03T11:57:12.399905,2026-02-03T11:57:12.713507,0.313602
4,2026-02-03T11:57:12.833807,2026-02-03T11:57:13.151914,0.318107
5,2026-02-03T11:57:13.268934,2026-02-03T11:57:13.585481,0.316547
6,2026-02-03T11:57:13.792780,2026-02-03T11:57:14.111284,0.318504
7,2026-02-03T11:57:14.257906,2026-02-03T11:57:14.581323,0.323417
8,2026-02-03T11:57:21.830815,2026-02-03T11:57:22.250134,0.419319
9,2026-02-03T11:57:22.426619,2026-02-03T11:57:22.761795,0.335176
10,2026-02-03T11:57:22.877475,2026-02-03T11:57:23.201776,0.324301
11,2026-02-03T11:57:23.341539,2026-02-03T11:57:23.666170,0.324631
12,2026-02-03T11:57:23.871799,2026-02-03T11:57:24.311212,0.439413
13,2026-02-03T11:57:24.461496,2026-02-03T11:57:24.819179,0.357683
14,2026-02-03T11:57:32.249906,2026-02-03T11:57:32.670445,0.420539
15,2026-02-03T11:57:32.784206,2026-02-03T11:57:33.151243,0.367037
16,2026-02-03T11:57:33.285486,2026-02-03T11:57:33.611661,0.326175
17,2026-02-03T11:57:33.768075,2026-02-03T11:57:34.115036,0.346961
18,2026-02-03T11:57:34.281385,2026-02-03T11:57:34.711134,0.429749
19,2026-02-03T11:57:34.817278,2026-02-03T11:57:35.146856,0.329578
20,2026-02-03T11:57:42.190392,2026-02-03T11:57:42.521928,0.331536
21,2026-02-03T11:57:42.672112,2026-02-03T11:57:43.139483,0.467371
22,2026-02-03T11:57:43.269464,2026-02-03T11:57:43.605192,0.335728
23,2026-02-03T11:57:43.758100,2026-02-03T11:57:44.114073,0.355973
24,2026-02-03T11:57:44.226410,2026-02-03T11:57:44.638237,0.411827
25,2026-02-03T11:57:44.758914,2026-02-03T11:57:45.109664,0.35075
26,2026-02-03T11:57:45.333963,2026-02-03T11:57:45.676805,0.342842
27,2026-02-03T11:57:53.629133,2026-02-03T11:57:53.982044,0.352911
28,2026-02-03T11:57:54.118913,2026-02-03T11:57:54.479188,0.360275
29,2026-02-03T11:57:54.628581,2026-02-03T11:57:55.165977,0.537396
30,2026-02-03T11:57:55.321486,2026-02-03T11:57:55.702833,0.381347
31,2026-02-03T11:58:02.503951,2026-02-03T11:58:02.839759,0.335808
32,2026-02-03T11:58:02.974167,2026-02-03T11:58:03.389426,0.415259
33,2026-02-03T11:58:03.620133,2026-02-03T11:58:03.976757,0.356624
34,2026-02-03T11:58:04.097320,2026-02-03T11:58:04.472211,0.374891
35,2026-02-03T11:58:04.622313,2026-02-03T11:58:04.982578,0.360265
36,2026-02-03T11:58:05.103206,2026-02-03T11:58:05.539602,0.436396
37,2026-02-03T11:58:05.704185,2026-02-03T11:58:06.125931,0.421746
38,2026-02-03T11:58:13.349405,2026-02-03T11:58:14.282143,0.932738
