Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.19932234,1.0653152,0.8897124887690926,1.0,0.323
11,0.054354142,0.29110563,0.9955015744489428,1.0,7.5252
12,0.04217156,0.2274894,0.9901079136690647,1.0,0.3799
13,0.047221407,0.25454018,0.9903174960594461,1.0,0.382
14,0.04742873,0.25749195,0.9930290083202159,1.0,0.3242
15,0.038823254,0.21020465,0.9945762711864407,1.0,0.3312
16,0.037983418,0.21249415,0.9919046548234765,1.0,0.4537
17,0.04297403,0.24505225,1.0,1.0,7.1357
18,0.04272709,0.24692632,0.9988928255093003,1.0,0.3303
19,0.043563265,0.25421453,0.99933818663137,1.0,0.3367
1,0.04516776,0.28177053,0.9837435086927071,1.0,8.4224
20,0.041964557,0.24428573,0.9995497523638001,1.0,0.4549
21,0.042203195,0.24543923,0.9991001124859392,1.0,0.3319
22,0.044710647,0.263514,0.9986522911051213,1.0,0.4012
23,0.0465866,0.28200933,0.998197792295562,1.0,0.3333
24,0.081896596,0.45952532,0.9810853411393831,1.0,7.0615
25,0.08121903,0.4539796,0.983127109111361,1.0,0.4166
26,0.08619797,0.48129377,0.9843889384478145,1.0,0.4306
27,0.082871266,0.46770394,0.9869848156182213,1.0,0.3465
28,0.09051809,0.503108,0.983739837398374,1.0,0.3454
29,0.08431228,0.47416407,0.9842468709538196,1.0,0.3567
2,0.046631377,0.29001358,0.9830661548882367,1.0,0.4682
30,0.08237869,0.46854854,0.9783943597907664,1.0,0.3469
31,0.06448567,0.3745849,1.0,1.0,7.4702
32,0.064646736,0.3821289,1.0,1.0,0.4239
33,0.064921714,0.3830733,0.9997751293006522,1.0,0.3463
34,0.06245603,0.3740195,0.9995508645856725,1.0,0.3636
35,0.059865076,0.36402887,0.9991206858650252,1.0,0.3673
36,0.06635993,0.39474466,0.998320033599328,1.0,0.4068
37,0.10655537,0.62903637,0.9788639365918098,1.0,7.1882
38,0.102680035,0.60168654,0.9808773903262092,1.0,0.5188
39,0.10663977,0.6215482,0.9817772778402699,1.0,0.3857
3,0.045288615,0.28278854,0.9848655974700701,1.0,0.3334
40,0.10960768,0.64380944,0.9635791366906474,1.0,0.3647
41,0.10479138,0.61342776,0.9731981981981982,1.0,0.4167
42,0.10487005,0.6174509,0.9660445243984709,1.0,0.3795
43,0.06841388,0.4179007,0.975461503827105,0.9995497523638001,8.159
44,0.070547506,0.42837518,0.9736782902137233,1.0,0.3717
45,0.06927573,0.4169753,0.968941283155747,1.0,0.3585
46,0.071056455,0.42960587,0.9653075016895697,0.9997747240369452,0.5341
47,0.08303824,0.5016674,0.9901101371094628,1.0,7.0714
48,0.0829128,0.5090873,0.9736427123225951,1.0,0.4229
49,0.07774094,0.4735563,0.9795275590551181,1.0,0.4325
4,0.053512193,0.33580962,0.9857755701061187,1.0,0.429
50,0.07991743,0.4911709,0.9847122302158273,1.0,0.432
51,0.08001004,0.49201897,0.9869398784057645,1.0,0.3829
52,0.07996745,0.49068826,0.9896419725287098,1.0,0.374
53,0.065007865,0.41117972,0.9943731712806663,1.0,7.1674
54,0.06366029,0.40506834,0.9936936936936936,1.0,0.3718
55,0.06332476,0.39842507,0.9941494149414941,1.0,0.3538
56,0.06474556,0.40592176,0.9932508436445444,1.0,0.3783
57,0.06404963,0.4086013,0.9932401982875169,1.0,1.1296
5,0.054975487,0.32759944,0.978167904568985,1.0,7.3711
6,0.22255035,1.1740444,0.6237333933798694,1.0,0.4292
7,0.21435581,1.1399065,0.7530975444920027,1.0,0.3189
8,0.21574625,1.1539292,0.6476683937823834,1.0,0.3207
9,0.21002774,1.1334099,0.6565315315315315,1.0,0.3676
