Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.15493427,0.48442906,0.9982960077896786,1.0,9.544
11,0.14710346,0.46014377,1.0,1.0,7.9947
12,0.14131026,0.44330457,1.0,1.0,8.5672
13,0.15487844,0.48600495,0.9704661947766658,1.0,8.4777
14,0.17534514,0.54588985,0.8721271393643032,1.0,11.7868
15,0.21482597,0.66399425,0.1972589329417523,1.0,11.7696
16,0.22312288,0.70114857,0.08392638036809816,0.9995092024539878,10.5233
17,0.21873994,0.8428185,0.25722613553558416,0.9895555015788196,10.785
18,0.21662869,0.843257,0.27745383867832846,0.9895529640427599,13.0732
19,0.22558393,0.8497582,0.12911084043848964,0.9909866017052376,10.88
1,0.086694315,0.27507937,1.0,1.0,13.092
20,0.19614755,0.69588166,0.5882783882783883,0.9958485958485959,11.9373
21,0.19675562,0.6095449,0.495732748110217,1.0,11.288
22,0.16207092,0.50422925,0.9824175824175824,1.0,12.3341
23,0.19304007,0.5998853,0.5467800729040098,1.0,12.4647
24,0.10815268,0.34063494,1.0,1.0,12.2906
25,0.10734967,0.3376998,1.0,1.0,12.9434
26,0.09856123,0.31010708,1.0,1.0,13.1346
27,0.099419124,0.31219402,1.0,1.0,11.452
28,0.10229024,0.32028913,1.0,1.0,11.6411
29,0.09649362,0.30425614,1.0,1.0,12.7478
2,0.09228779,0.29114854,1.0,1.0,10.5021
30,0.09492518,0.2981396,1.0,1.0,11.7958
31,0.096302025,0.3018276,1.0,1.0,12.2944
32,0.09199391,0.29218525,1.0,1.0,12.6035
33,0.09127532,0.29015747,1.0,1.0,13.2762
34,0.09184429,0.29108045,1.0,1.0,11.9523
35,0.09178271,0.2904303,1.0,1.0,12.9421
36,0.088900395,0.2813044,1.0,1.0,11.5433
37,0.09181916,0.29108903,1.0,1.0,10.8511
38,0.088148035,0.28105307,1.0,1.0,11.7557
39,0.110021666,0.34628692,1.0,1.0,11.3243
3,0.088716745,0.28072914,1.0,1.0,11.5242
40,0.09053805,0.28904518,1.0,1.0,11.2816
41,0.1055433,0.3299742,1.0,1.0,11.2215
42,0.1023847,0.32035315,1.0,1.0,11.7878
43,0.10620057,0.33153927,1.0,1.0,11.4605
44,0.10876394,0.33770296,1.0,1.0,11.8495
45,0.12465506,0.38195243,1.0,1.0,11.0318
46,0.111385465,0.34231696,1.0,1.0,12.0465
47,0.11610906,0.3618914,1.0,1.0,11.1441
48,0.10597789,0.3344483,1.0,1.0,11.705
49,0.11504232,0.36222166,1.0,1.0,11.4058
4,0.088987514,0.28138736,1.0,1.0,11.0528
50,0.10412915,0.33254954,1.0,1.0,12.227
51,0.10780953,0.34340817,1.0,1.0,11.4412
52,0.10837968,0.3486342,1.0,1.0,11.7861
53,0.10659311,0.34213653,1.0,1.0,11.614
54,0.115818195,0.36799052,1.0,1.0,12.2688
55,0.09215528,0.30529848,1.0,1.0,11.326
56,0.088574454,0.29094192,1.0,1.0,11.9114
57,0.09025709,0.29997525,1.0,1.0,11.878
58,0.09476113,0.3061553,1.0,1.0,12.0154
59,0.10615286,0.3351014,1.0,1.0,12.0773
5,0.09231924,0.2914454,1.0,1.0,11.0972
60,0.11304158,0.35668194,1.0,1.0,12.3249
6,0.09862137,0.31131592,1.0,1.0,12.2416
7,0.099494375,0.3164574,1.0,1.0,12.2515
8,0.09277656,0.29306322,1.0,1.0,12.314
9,0.15223505,0.4762361,0.9992700729927008,1.0,12.325
