index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
1,d-1316653401.389799-3455474416.pgm,r-1316653401.378458-3455858059.ppm,1316653401.389799118,1316653401.378458023,images\1.png,RGB_undistorted\1.png,Depth\1_depth.png,307200
2,d-1316653402.381669-3515539066.pgm,r-1316653402.388831-3515866684.ppm,1316653402.381669044,1316653402.388830900,images\2.png,RGB_undistorted\2.png,Depth\2_depth.png,307200
3,d-1316653404.155430-3621653281.pgm,r-1316653404.133616-3619881634.ppm,1316653404.155430079,1316653404.133615971,images\3.png,RGB_undistorted\3.png,Depth\3_depth.png,307200
4,d-1316653405.223892-3685722241.pgm,r-1316653405.218960-3685891122.ppm,1316653405.223891973,1316653405.218960047,images\4.png,RGB_undistorted\4.png,Depth\4_depth.png,307200
5,d-1316653406.224671-3745786891.pgm,r-1316653406.212990-3745899747.ppm,1316653406.224670887,1316653406.212990046,images\5.png,RGB_undistorted\5.png,Depth\5_depth.png,307200
6,d-1316653407.226989-3805851541.pgm,r-1316653407.220839-3805908372.ppm,1316653407.226989031,1316653407.220839024,images\6.png,RGB_undistorted\6.png,Depth\6_depth.png,307200
7,d-1316653408.326511-3871922656.pgm,r-1316653408.321723-3871917859.ppm,1316653408.326510906,1316653408.321722984,images\7.png,RGB_undistorted\7.png,Depth\7_depth.png,307200
8,d-1316653409.415580-3935991616.pgm,r-1316653409.409486-3935927059.ppm,1316653409.415580034,1316653409.409486055,images\8.png,RGB_undistorted\8.png,Depth\8_depth.png,307200
9,d-1316653411.735676-4042105831.pgm,r-1316653411.745193-4043942584.ppm,1316653411.735676050,1316653411.745193005,images\9.png,RGB_undistorted\9.png,Depth\9_depth.png,307200
10,d-1316653413.431641-4136207116.pgm,r-1316653413.439867-4137956097.ppm,1316653413.431641102,1316653413.439867020,images\10.png,RGB_undistorted\10.png,Depth\10_depth.png,307200
11,d-1316653414.462885-4238317021.pgm,r-1316653414.457302-4237970472.ppm,1316653414.462884903,1316653414.457302094,images\11.png,RGB_undistorted\11.png,Depth\11_depth.png,307200
12,d-1316653415.702870-19431615.pgm,r-1316653415.690531-19014101.ppm,1316653415.702869892,1316653415.690531015,images\12.png,RGB_undistorted\12.png,Depth\12_depth.png,307200
13,d-1316653416.694888-79496265.pgm,r-1316653416.682492-79022726.ppm,1316653416.694888115,1316653416.682492018,images\13.png,RGB_undistorted\13.png,Depth\13_depth.png,307200
14,d-1316653417.862983-149571690.pgm,r-1316653417.890999-151033076.ppm,1316653417.862982988,1316653417.890999079,images\14.png,RGB_undistorted\14.png,Depth\14_depth.png,307200
15,d-1316653418.870505-209636340.pgm,r-1316653418.883054-211041701.ppm,1316653418.870505095,1316653418.883054018,images\15.png,RGB_undistorted\15.png,Depth\15_depth.png,307200
16,d-1316653419.960918-273705300.pgm,r-1316653419.938774-273050613.ppm,1316653419.960917950,1316653419.938774109,images\16.png,RGB_undistorted\16.png,Depth\16_depth.png,307200
17,d-1316653420.936597-333769950.pgm,r-1316653420.959751-335059526.ppm,1316653420.936597109,1316653420.959750891,images\17.png,RGB_undistorted\17.png,Depth\17_depth.png,307200
